usia (tahun),meal_time,jenis_kelamin,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c
0,breakfast,L,270,2400,4500.0,10500.0,31500.0,3300.0,81.0,82.5,3.3,111.0,210,0.066,0.8999999999999999,15.0
0,breakfast,P,270,2400,4500.0,10500.0,31500.0,3300.0,81.0,82.5,3.3,111.0,210,0.066,0.8999999999999999,15.0
1,breakfast,L,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
1,breakfast,P,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
2,breakfast,L,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
2,breakfast,P,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
3,breakfast,L,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
3,breakfast,P,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
4,breakfast,L,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
4,breakfast,P,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
5,breakfast,L,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
5,breakfast,P,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
6,breakfast,L,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
6,breakfast,P,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
7,breakfast,L,495,4950,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.1709999999999999,1.5,13.5
7,breakfast,P,495,4950,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.1709999999999999,1.5,13.5
8,breakfast,L,495,4950,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.1709999999999999,1.5,13.5
8,breakfast,P,495,4950,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.1709999999999999,1.5,13.5
9,breakfast,L,495,4950,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.1709999999999999,1.5,13.5
9,breakfast,P,495,4950,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.1709999999999999,1.5,13.5
10,breakfast,L,555,6000,15000.0,19500.0,90000.0,8400.0,360.0,375.0,2.4,390.0,1170,0.21,2.4,15.0
10,breakfast,P,555,5700,16500.0,19500.0,84000.0,8100.0,360.0,375.0,2.4,420.0,1320,0.21,2.4,15.0
11,breakfast,L,555,6000,15000.0,19500.0,90000.0,8400.0,360.0,375.0,2.4,390.0,1170,0.21,2.4,15.0
11,breakfast,P,555,5700,16500.0,19500.0,84000.0,8100.0,360.0,375.0,2.4,420.0,1320,0.21,2.4,15.0
12,breakfast,L,555,6000,15000.0,19500.0,90000.0,8400.0,360.0,375.0,2.4,390.0,1170,0.21,2.4,15.0
12,breakfast,P,555,5700,16500.0,19500.0,84000.0,8100.0,360.0,375.0,2.4,420.0,1320,0.21,2.4,15.0
0,lunch,L,108,960,1800.0,4200.0,12600.000000000002,1320.0,32.4,33.0,1.32,44.400000000000006,84,0.0264,0.36,6.0
0,lunch,P,108,960,1800.0,4200.0,12600.000000000002,1320.0,32.4,33.0,1.32,44.400000000000006,84,0.0264,0.36,6.0
1,lunch,L,138,1620,2400.0000000000005,5400.0,25800.0,2280.0000000000005,78.0,55.2,0.8400000000000001,96.0,312,0.0408,0.36,4.800000000000001
1,lunch,P,138,1620,2400.0000000000005,5400.0,25800.0,2280.0000000000005,78.0,55.2,0.8400000000000001,96.0,312,0.0408,0.36,4.800000000000001
2,lunch,L,138,1620,2400.0000000000005,5400.0,25800.0,2280.0000000000005,78.0,55.2,0.8400000000000001,96.0,312,0.0408,0.36,4.800000000000001
2,lunch,P,138,1620,2400.0000000000005,5400.0,25800.0,2280.0000000000005,78.0,55.2,0.8400000000000001,96.0,312,0.0408,0.36,4.800000000000001
3,lunch,L,138,1620,2400.0000000000005,5400.0,25800.0,2280.0000000000005,78.0,55.2,0.8400000000000001,96.0,312,0.0408,0.36,4.800000000000001
3,lunch,P,138,1620,2400.0000000000005,5400.0,25800.0,2280.0000000000005,78.0,55.2,0.8400000000000001,96.0,312,0.0408,0.36,4.800000000000001
4,lunch,L,174,1680,3000.0,6000.0,26400.000000000004,2400.0000000000005,120.0,60.0,1.2000000000000002,108.0,324,0.0528,0.6000000000000001,5.4
4,lunch,P,174,1680,3000.0,6000.0,26400.000000000004,2400.0000000000005,120.0,60.0,1.2000000000000002,108.0,324,0.0528,0.6000000000000001,5.4
5,lunch,L,174,1680,3000.0,6000.0,26400.000000000004,2400.0000000000005,120.0,60.0,1.2000000000000002,108.0,324,0.0528,0.6000000000000001,5.4
5,lunch,P,174,1680,3000.0,6000.0,26400.000000000004,2400.0000000000005,120.0,60.0,1.2000000000000002,108.0,324,0.0528,0.6000000000000001,5.4
6,lunch,L,174,1680,3000.0,6000.0,26400.000000000004,2400.0000000000005,120.0,60.0,1.2000000000000002,108.0,324,0.0528,0.6000000000000001,5.4
6,lunch,P,174,1680,3000.0,6000.0,26400.000000000004,2400.0000000000005,120.0,60.0,1.2000000000000002,108.0,324,0.0528,0.6000000000000001,5.4
7,lunch,L,198,1980,4800.000000000001,6600.000000000001,30000.0,2760.0,120.0,60.0,1.2000000000000002,120.0,384,0.0684,0.6000000000000001,5.4
7,lunch,P,198,1980,4800.000000000001,6600.000000000001,30000.0,2760.0,120.0,60.0,1.2000000000000002,120.0,384,0.0684,0.6000000000000001,5.4
8,lunch,L,198,1980,4800.000000000001,6600.000000000001,30000.0,2760.0,120.0,60.0,1.2000000000000002,120.0,384,0.0684,0.6000000000000001,5.4
8,lunch,P,198,1980,4800.000000000001,6600.000000000001,30000.0,2760.0,120.0,60.0,1.2000000000000002,120.0,384,0.0684,0.6000000000000001,5.4
9,lunch,L,198,1980,4800.000000000001,6600.000000000001,30000.0,2760.0,120.0,60.0,1.2000000000000002,120.0,384,0.0684,0.6000000000000001,5.4
9,lunch,P,198,1980,4800.000000000001,6600.000000000001,30000.0,2760.0,120.0,60.0,1.2000000000000002,120.0,384,0.0684,0.6000000000000001,5.4
10,lunch,L,222,2400,6000.0,7800.000000000001,36000.0,3360.0000000000005,144.0,150.0,0.96,156.0,468,0.084,0.96,6.0
10,lunch,P,222,2280,6600.000000000001,7800.000000000001,33600.0,3240.0,144.0,150.0,0.96,168.0,528,0.084,0.96,6.0
11,lunch,L,222,2400,6000.0,7800.000000000001,36000.0,3360.0000000000005,144.0,150.0,0.96,156.0,468,0.084,0.96,6.0
11,lunch,P,222,2280,6600.000000000001,7800.000000000001,33600.0,3240.0,144.0,150.0,0.96,168.0,528,0.084,0.96,6.0
12,lunch,L,222,2400,6000.0,7800.000000000001,36000.0,3360.0000000000005,144.0,150.0,0.96,156.0,468,0.084,0.96,6.0
12,lunch,P,222,2280,6600.000000000001,7800.000000000001,33600.0,3240.0,144.0,150.0,0.96,168.0,528,0.084,0.96,6.0
0,dinner,L,270,2400,4500.0,10500.0,31500.0,3300.0,81.0,82.5,3.3,111.0,210,0.066,0.8999999999999999,15.0
0,dinner,P,270,2400,4500.0,10500.0,31500.0,3300.0,81.0,82.5,3.3,111.0,210,0.066,0.8999999999999999,15.0
1,dinner,L,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
1,dinner,P,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
2,dinner,L,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
2,dinner,P,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
3,dinner,L,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
3,dinner,P,345,4050,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.102,0.8999999999999999,12.0
4,dinner,L,435,4200,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
